date,close,volume,open,high,low,nextClose,,move 7 Day,move 30 Day
6/14/12,81.6471,86325.986,81.6057,81.9285,81.0371,82.0185,940,1.2428,-2.0643
6/15/12,82.0185,83596.545,81.5714,82.0885,81.3643,83.6828,939,0.3814,-1.0986
6/18/12,83.6828,109922.713,81.5657,83.9843,81.4814,83.9157,938,2.0085,2.9328
6/19/12,83.9157,90239.127,83.3428,84.2857,83.3,83.6773,937,1.0129,2.5614
6/20/12,83.6773,89706.357,84.03,84.1785,82.9714,82.5243,936,2.0816,2.5088
6/21/12,82.5243,81511.944,83.6343,84.0314,82.4914,83.1571,935,0.2158,1.2129
6/22/12,83.1571,70792.001,82.72,83.17,82.2028,81.5378,934,1.42,1.6543
6/25/12,81.5378,75963.043,82.4714,82.8285,81.4814,81.7178,933,-0.1093,0.5793
6/26/12,81.7178,69124.972,81.6185,82.07,81.0471,82.0714,932,-0.3007,1.9721
6/27/12,82.0714,50737.114,82.1428,82.3914,81.7028,81.2928,931,-1.6114,3.0471
6/28/12,81.2928,70572.061,81.6671,82,80.8014,83.4285,930,-2.6229,3.2821
6/29/12,83.4285,105131.912,82.5714,83.4285,82.0357,84.6457,929,-0.2488,7.6971
7/2/12,84.6457,99806.94,83.5328,84.7814,83.3714,85.63,928,2.1214,8.8772
7/3/12,85.63,60428.183,84.9828,85.7143,84.8571,87.1343,927,2.4729,5.4472
7/5/12,87.1343,120978.516,85.7943,87.7628,85.6643,86.5543,926,5.5965,7.5672
7/6/12,86.5543,104693.151,86.7271,86.92,85.94,87.6985,925,4.8365,5.0458
7/9/12,87.6985,94701.768,86.4714,87.7,86.3014,86.8871,924,5.6271,6.9385
7/10/12,86.8871,127763.688,88.2814,88.5528,86.4728,86.3471,923,5.5943,6.56
7/11/12,86.3471,117068.665,86.5885,86.8085,85.3171,85.5571,922,2.9186,4.5943
7/12/12,85.5571,106873.442,85.7485,86.21,84.6685,86.4243,921,0.9114,2.8186
7/13/12,86.4243,77827.633,86.1357,86.7414,85.7143,86.7014,920,0.7943,3.8915
7/16/12,86.7014,75263.813,86.4457,87.3743,86.4314,86.7057,919,-0.4329,6.56
7/17/12,86.7057,73378.782,87.2557,87.3571,86.1643,86.6085,918,0.1514,6.0929
7/18/12,86.6085,62685.509,86.6557,86.9057,86.2228,87.76,917,-1.09,6.2042
7/19/12,87.76,108981.913,87.3257,87.9071,86.5714,86.3285,916,0.8729,6.1229
7/20/12,86.3285,99227.2,87.5757,87.7771,86.2428,86.2614,915,-0.0186,4.6542
7/23/12,86.2614,121642.186,84.9143,86.5571,83.9585,85.8457,914,0.7043,3.3586
7/24/12,85.8457,137351.661,86.7685,87.0971,85.5014,82.1385,913,-0.5786,4.25
